date,y_real_0,y_pred_0,mape_0,y_real_1,y_pred_1,mape_1,y_real_2,y_pred_2,mape_2,y_real_3,y_pred_3,mape_3,y_real_4,y_pred_4,mape_4,y_real_5,y_pred_5,mape_5,y_real_6,y_pred_6,mape_6,y_real_7,y_pred_7,mape_7,y_real_8,y_pred_8,mape_8,y_real_9,y_pred_9,mape_9,y_real_10,y_pred_10,mape_10,y_real_11,y_pred_11,mape_11,y_real_12,y_pred_12,mape_12,y_real_13,y_pred_13,mape_13,y_real_14,y_pred_14,mape_14,y_real_15,y_pred_15,mape_15,y_real_16,y_pred_16,mape_16,y_real_17,y_pred_17,mape_17,y_real_18,y_pred_18,mape_18,y_real_19,y_pred_19,mape_19,y_real_20,y_pred_20,mape_20,y_real_21,y_pred_21,mape_21,y_real_22,y_pred_22,mape_22,y_real_23,y_pred_23,mape_23,mape_mean
2024-01-01 14:00:00,16670.0,16522.635,0.8840146033293342,16753.0,16778.678,0.15327245493344477,17334.0,18225.404,5.142519308151609,17323.0,18939.549,9.331806431478382,17263.0,19092.11,10.595547558361815,17302.0,19084.344,10.301374118599007,17014.0,18762.938,10.279402256964852,16214.0,17401.057,7.321183178888615,15425.0,16453.256,6.666164404376013,14435.0,15475.928,7.211137751125736,13653.0,15486.516,13.429397385190068,13217.0,16050.0,21.434516153438754,12978.0,14952.737,15.21603717589382,13101.0,15148.83,15.631097459163424,13510.0,14689.403,8.729854332438935,14636.0,15849.537,8.291453329974036,17229.0,17052.29,1.0256598612803993,19191.0,18385.707,4.196201181543432,20307.0,20837.947,2.61460218459152,21046.0,22258.473,5.761059851040578,21249.0,22013.979,3.6000683120382133,21561.0,22106.771,2.5312902201892307,21725.0,22497.613,3.5563327100115076,22048.0,22465.324,1.8927985248095067,7.324866281158844
2024-01-01 15:00:00,16753.0,17021.662,1.6036656680892973,17334.0,17016.99,1.8288321542921426,17323.0,18405.303,6.247778874184609,17263.0,19170.736,11.05101273315762,17302.0,19289.594,11.487653161484221,17014.0,18285.469,7.473073645233337,16214.0,17798.55,9.772732091094117,15425.0,16625.2,7.780870137763371,14435.0,15745.557,9.079020717873226,13653.0,15453.771,13.189566281220245,13217.0,15654.222,18.44005205180828,12978.0,16050.0,23.6708275543227,13101.0,14952.737,14.134320316674302,13510.0,15513.588,14.830406296262028,14636.0,16495.613,12.705748027124898,17229.0,16601.658,3.641196801178246,19191.0,19300.48,0.5704781863894534,20307.0,21066.209,3.7386565439257398,21046.0,22595.166,7.360857244250689,21249.0,22836.725,7.471996843969128,21561.0,22245.098,3.1728475314224758,21725.0,22262.29,2.4731372266973533,22048.0,22675.352,2.8453898879716983,21734.0,22709.639,4.4889972939863805,8.294129886265647
2024-01-01 16:00:00,17334.0,17246.348,0.5056671498211607,17323.0,17849.39,3.0386805114587543,17263.0,18405.303,6.61705806855703,17302.0,19330.125,11.721910761761647,17014.0,18179.098,6.8478761975432,16214.0,17051.254,5.163771470642654,15425.0,16529.576,7.160947629659644,14435.0,15069.006,4.3921431200207826,13653.0,14979.942,9.719053561946092,13217.0,15330.052,15.987378057142317,12978.0,15780.213,21.592024122553553,13101.0,16050.0,22.509732081520497,13510.0,15938.886,17.978428883697262,14636.0,15513.588,5.996091081067231,17229.0,17148.338,0.4681763850194439,19191.0,19452.334,1.3617528235891823,20307.0,21793.98,7.322501938986556,21046.0,22913.645,8.874106867100636,21249.0,23046.15,8.457576312414702,21561.0,22977.973,6.571924568665646,21725.0,22245.098,2.3940053222094364,22048.0,22544.123,2.2501952416318938,21734.0,22415.81,3.1370688638768747,21877.0,22713.08,3.821730941742469,7.662075081776192
2024-01-01 17:00:00,17323.0,17652.977,1.9048465190786814,17263.0,18037.678,4.4875035299484445,17302.0,18200.455,5.192781632903711,17014.0,18602.287,9.335177555983307,16214.0,16890.371,4.171525186567164,15425.0,16148.659,4.691469560372771,14435.0,14555.506,0.8348171761343957,13653.0,14648.346,7.29030764758661,13217.0,14730.1875,11.448797003858667,12978.0,15330.052,18.123376158210046,13101.0,15780.213,20.45044569593924,13510.0,16050.838,18.807090234085862,14636.0,15799.541,7.949856624931676,17229.0,16026.036,6.982203651909572,19191.0,19783.877,3.089348929836903,20307.0,21570.805,6.223492822671985,21046.0,22784.264,8.259354137959708,21249.0,22967.635,8.088073629935526,21561.0,23652.775,9.701662217081768,21725.0,22610.146,4.074322137514384,22048.0,22245.098,0.8939480054880261,21734.0,22599.494,3.9822128491073894,21877.0,22415.81,2.4629087483430085,22419.0,22516.566,0.4351951748516883,7.036696534595855
2024-01-01 18:00:00,17263.0,17616.072,2.0452543916179113,17302.0,17790.166,2.8214426980984855,17014.0,17288.77,1.6149613920888681,16214.0,16413.434,1.2300085959664486,15425.0,15324.74,0.649982273095624,14435.0,14469.625,0.23986837547627293,13653.0,14368.214,5.238510709642569,13217.0,14374.6045,8.758451177933722,12978.0,15002.544,15.599814650273538,13101.0,15173.714,15.821035548336004,13510.0,15780.213,16.803944416173206,14636.0,16382.094,11.930129475266467,17229.0,16459.555,4.465989392884091,19191.0,18837.973,1.8395463693919023,20307.0,21124.27,4.024570499088984,21046.0,21902.957,4.071828524422693,21249.0,22800.355,7.300839892465527,21561.0,23213.686,7.665161851838969,21725.0,23604.107,8.649516326237054,22048.0,22813.338,3.4712349901351596,21734.0,22483.152,3.446914253013711,21877.0,22795.904,4.2003213277643185,22419.0,22662.135,1.0845031697444132,22290.0,22930.191,2.872101418797667,5.660247154989734
2024-01-01 19:00:00,17302.0,17731.574,2.4828009406427003,17014.0,17631.988,3.632233932349829,16214.0,15497.185,4.42096601509498,15425.0,15646.318,1.4348029781199352,14435.0,14535.766,0.6980645999307239,13653.0,14971.081,9.654149671775434,13217.0,14659.74,10.915792043391088,12978.0,14837.886,14.331065974630144,13101.0,15002.544,14.514494659281734,13510.0,15173.714,12.314684435140636,14636.0,15999.714,9.317531205161929,17229.0,17305.568,0.444415574757676,19191.0,17920.56,6.619975265098223,20307.0,20755.84,2.2102715504505834,21046.0,21880.209,3.963741254276347,21249.0,21962.068,3.355773727587181,21561.0,22575.062,4.7032257316451,21725.0,23027.309,5.994515966628308,22048.0,23604.107,7.0578166812182515,21734.0,22973.51,5.703090851315911,21877.0,22735.527,3.9243376319879326,22419.0,22544.684,0.5606119530309113,22290.0,22662.135,1.6695144263122477,21949.0,22346.738,1.8121020604583353,5.488999130428589
2024-01-01 20:00:00,17014.0,16833.822,1.0589969106324204,16214.0,16088.49,0.7740826793203404,15425.0,14731.969,4.492909238249595,14435.0,14765.747,2.2912855581052995,13653.0,14582.336,6.806825880758807,13217.0,14723.068,11.394933490012862,12978.0,14659.74,12.95839292938049,13101.0,14837.886,13.257657752747882,13510.0,15087.044,11.673160216968911,14636.0,15173.76,3.6742263297690627,17229.0,17535.162,1.7770161319577458,19191.0,18979.934,1.0998197397217446,20307.0,21015.14,3.487174988920077,21046.0,21601.5,2.6394564287750644,21249.0,21694.307,2.0956592810249894,21561.0,22118.676,2.586502394369463,21725.0,22688.043,4.432879027617951,22048.0,23141.979,4.9618038625952465,21734.0,23303.377,7.220838102167111,21877.0,22973.51,5.012157816999588,22419.0,22735.527,1.4118709297916945,22290.0,22348.66,0.26316804060116644,21949.0,22662.135,3.249053558818169,21705.0,22346.738,2.9566380154342315,4.64902122103083
2024-01-01 21:00:00,16214.0,16334.264,0.7417273459664487,15425.0,15005.711,2.7182435170178283,14435.0,14869.822,3.012277558884655,13653.0,14473.346,6.00853807313411,13217.0,15017.573,13.623161399617917,12978.0,15178.877,16.958521753159193,13101.0,14661.322,11.909947833180674,13510.0,15203.261,12.533388173112508,14636.0,15376.232,5.057614251673955,17229.0,15652.169,9.152191390605955,19191.0,18889.191,1.572656942056172,20307.0,20369.576,0.30815074543260945,21046.0,21576.56,2.5209566990164403,21249.0,21644.855,1.862936932326227,21561.0,22295.889,3.408416455057743,21725.0,22195.05,2.1636399597238203,22048.0,22879.098,3.7694922725417275,21734.0,22689.943,4.3983774702079685,21877.0,23303.377,6.519984244297664,22419.0,22878.094,2.047788706008297,22290.0,23149.375,3.855428443248093,21949.0,22058.213,0.4975757010569958,21705.0,21310.256,1.8186783719189126,21113.0,20620.725,2.331622178870838,4.9496381840881964
2024-01-01 22:00:00,15425.0,15658.447,1.5134344611021069,14435.0,14815.217,2.6339923579840665,13653.0,14869.822,8.912490043397057,13217.0,14339.357,8.491771369259288,12978.0,15017.635,15.716094665010017,13101.0,15178.881,15.860475226127777,13510.0,15085.37,11.660770667561065,14636.0,16011.44,9.39765256687278,17229.0,16703.547,3.0498178942480703,19191.0,17845.525,7.010966647777604,20307.0,20277.812,0.14373122568572413,21046.0,20803.668,1.151439851990877,21249.0,21362.574,0.5344920643324391,21561.0,21779.107,1.0115830521543527,21725.0,22451.97,3.346240290563866,22048.0,22195.066,0.6670283302340348,21734.0,22879.098,5.2686926302107295,21877.0,22409.303,2.4331614680943456,22419.0,22738.008,1.4229350662384586,22290.0,23052.941,3.422796797891431,21949.0,23149.387,5.468981360198642,21705.0,21855.111,0.6915979181064271,21113.0,20868.781,1.1567221617013215,19855.0,19907.793,0.2658925648451272,4.634698361732817
2024-01-01 23:00:00,14435.0,15073.123,4.420665374956703,13653.0,14243.708,4.326580295997217,13217.0,14869.822,12.505275521109176,12978.0,14341.111,10.503246479619357,13101.0,15022.615,14.667698911342644,13510.0,15178.881,12.352930121206514,14636.0,15321.112,4.681007821040585,17229.0,17108.857,0.6973276343664752,19191.0,18093.414,5.719274334323381,20307.0,20061.635,1.2082790878761018,21046.0,20865.297,0.8586103059963889,21249.0,20759.875,2.301873029319027,21561.0,21361.1,0.9271387719725431,21725.0,21759.879,0.16054732451093212,22048.0,22451.97,1.8322328697614294,21734.0,22041.135,1.4131534260835557,21877.0,22511.293,2.8993599156648537,22419.0,22869.074,2.0075570665506937,22290.0,22269.602,0.0915138515029161,21949.0,23441.26,6.798759695772016,21705.0,22033.98,1.515689789219074,21113.0,21104.246,0.041462161938142374,19855.0,20053.89,1.0017155628305212,18607.0,18558.191,0.26231307438060947,3.883092184472536
