date,y_real_0,y_pred_0,y_real_1,y_pred_1,y_real_2,y_pred_2,y_real_3,y_pred_3,y_real_4,y_pred_4,y_real_5,y_pred_5,y_real_6,y_pred_6,y_real_7,y_pred_7,y_real_8,y_pred_8,y_real_9,y_pred_9,y_real_10,y_pred_10,y_real_11,y_pred_11,y_real_12,y_pred_12,y_real_13,y_pred_13,y_real_14,y_pred_14,y_real_15,y_pred_15,y_real_16,y_pred_16,y_real_17,y_pred_17,y_real_18,y_pred_18,y_real_19,y_pred_19,y_real_20,y_pred_20,y_real_21,y_pred_21,y_real_22,y_pred_22,y_real_23,y_pred_23,mape_0,mape_1,mape_2,mape_3,mape_4,mape_5,mape_6,mape_7,mape_8,mape_9,mape_10,mape_11,mape_12,mape_13,mape_14,mape_15,mape_16,mape_17,mape_18,mape_19,mape_20,mape_21,mape_22,mape_23,mape_mean
2024-01-01 14:00:00,16670.0,17563.012,16753.0,17869.45,17334.0,18478.83,17323.0,20875.705,17263.0,21645.59,17302.0,20144.74,17014.0,20430.201,16214.0,19376.592,15425.0,17356.422,14435.0,15285.944,13653.0,15820.145,13217.0,13988.289,12978.0,16505.096,13101.0,14816.691,13510.0,15593.449,14636.0,17041.555,17229.0,18196.633,19191.0,19331.04,20307.0,19243.914,21046.0,23793.744,21249.0,23786.592,21561.0,23345.588,21725.0,22957.232,22048.0,22596.271,5.356998912717457,6.664174886587477,6.604534891686859,20.508601732523235,25.387185563053933,16.43012503973529,20.078765557041258,19.50531514046503,12.52137358184765,5.895007522947696,15.87302813484216,5.835583434213513,27.17749809774233,13.095881278146706,15.42153381754256,16.435875153730528,5.616302817923269,0.7297121697670783,5.2350713423942485,13.055897275610567,11.942170440373664,8.276925423797596,5.671955911967779,2.4867175452421986,11.908593152995836
2024-01-01 15:00:00,16753.0,17563.012,17334.0,17869.45,17323.0,20244.29,17263.0,19070.012,17302.0,21645.59,17014.0,19004.025,16214.0,15810.476,15425.0,17343.643,14435.0,15289.476,13653.0,15285.944,13217.0,15820.145,12978.0,13988.289,13101.0,16505.096,13510.0,14816.691,14636.0,15593.449,17229.0,17957.31,19191.0,19436.457,20307.0,22569.861,21046.0,21299.893,21249.0,23793.744,21561.0,23786.592,21725.0,24659.654,22048.0,22957.232,21734.0,22596.271,4.835024883602937,3.089011300046152,16.863644071465682,10.467541671493946,25.10455348370131,11.696399380657105,2.4887406812785247,12.438525628038898,5.91947063344302,11.960333523309895,19.695426581296815,7.78462831329943,25.983479910884665,9.67203113434493,6.541741040926483,4.227236327558187,1.2790215791256319,11.143257635913724,1.2063697525658084,11.975830112593535,10.32230321819489,13.50819008918297,4.1238770948612125,3.96738513101592,9.845584299116739
2024-01-01 16:00:00,17334.0,19139.137,17323.0,17869.45,17263.0,20244.29,17302.0,18968.861,17014.0,21645.59,16214.0,19004.025,15425.0,15810.476,14435.0,15465.437,13653.0,15289.476,13217.0,15285.944,12978.0,15820.145,13101.0,13988.289,13510.0,16505.096,14636.0,16740.762,17229.0,17910.357,19191.0,21299.225,20307.0,22577.781,21046.0,22569.861,21249.0,21299.893,21561.0,23793.744,21725.0,23786.592,22048.0,23184.803,21734.0,22957.232,21877.0,22596.271,10.413849767797393,3.1544721973676615,17.26982020795922,9.633922830453127,27.22222783443047,17.207508268317504,2.4990313512965967,7.138458769916868,11.986197802222955,15.653660709219189,21.89971129026044,6.772681951759408,22.169472265914138,14.380716853990162,3.9547125304718787,10.985485953702256,11.182258580784952,7.240622104556685,0.23950575615323075,10.35547581570892,9.489490434407365,5.156035623979499,5.628197395210269,3.2877976156465696,10.62172141298028
2024-01-01 17:00:00,17323.0,19139.139,17263.0,18143.7,17302.0,20244.29,17014.0,18968.861,16214.0,19849.898,15425.0,17562.754,14435.0,15810.476,13653.0,17818.582,13217.0,15289.476,12978.0,15285.944,13101.0,15820.145,13510.0,13988.289,14636.0,16505.096,17229.0,18332.3,19191.0,17910.357,20307.0,23079.152,21046.0,23895.582,21249.0,22569.861,21561.0,21299.893,21725.0,23793.744,22048.0,23786.592,21734.0,23184.803,21877.0,22957.232,22419.0,22596.271,10.483973167898169,5.101657989631002,17.00548527626864,11.48972215895733,22.424438371160726,13.85902046191248,9.528753626169035,30.5103789002417,15.680378194276312,17.78351314484127,20.755244113044803,3.540259529977794,12.770536370080624,6.403742418306344,6.673141462795059,13.651215559905452,13.539779679036396,6.216110537554709,1.211017215690367,9.5224126150748,7.885485290615929,6.67526794135916,4.937753905357225,0.7907198553682144,11.185000324396812
2024-01-01 18:00:00,17263.0,17651.932,17302.0,19914.29,17014.0,20244.29,16214.0,15711.617,15425.0,18036.895,14435.0,15846.145,13653.0,18507.627,13217.0,17818.582,12978.0,15289.476,13101.0,15285.944,13510.0,15820.145,14636.0,13988.289,17229.0,16505.096,19191.0,18332.3,20307.0,17910.357,21046.0,23079.152,21249.0,23895.582,21561.0,22569.861,21725.0,23341.395,22048.0,23793.744,21734.0,23786.592,21877.0,23184.803,22419.0,22957.232,22290.0,22596.271,2.2529782808608005,15.098191321812507,18.986064784883038,3.098450798692488,16.932865680713128,9.7758540439903,35.55721785047242,34.81563162026178,17.8107226532401,16.6776912902641,17.099515405255367,4.425464180787101,4.2016617149863595,4.47448918112657,11.802051401610282,9.660516695571605,12.455089798343451,4.679102676707945,7.4402510069044885,7.91792516611484,9.444151085281126,5.977980227522055,2.4007869301708373,1.3740308854867653,11.431611861710808
2024-01-01 19:00:00,17302.0,17651.932,17014.0,19914.29,16214.0,18206.555,15425.0,18347.025,14435.0,16367.534,13653.0,14155.374,13217.0,18507.627,12978.0,17818.582,13101.0,15289.476,13510.0,15285.944,14636.0,15820.145,17229.0,13988.289,19191.0,18523.582,20307.0,20540.139,21046.0,21150.896,21249.0,23079.152,21561.0,23895.582,21725.0,22569.861,22048.0,23342.504,21734.0,23793.744,21877.0,23786.592,22419.0,23184.803,22290.0,22957.232,21949.0,24091.354,2.022492432233268,17.04648561478782,12.289100083261378,18.943438512965965,13.38783636776931,3.679587075642716,40.02895477888326,37.29836670711974,16.704645339573315,13.145405891469283,8.090629483807051,18.809628750943176,3.4777654564639673,1.148070477544689,0.49841530160125436,8.612886929973175,10.827800339733779,3.8888898878020717,5.871298558826197,9.477059632948375,8.728764441536773,3.4158648216914225,2.993415979699417,9.760597364914119,11.256141676299647
2024-01-01 20:00:00,17014.0,17651.932,16214.0,15254.416,15425.0,16094.065,14435.0,16587.102,13653.0,16367.534,13217.0,14155.374,12978.0,18507.627,13101.0,17818.582,13510.0,15289.476,14636.0,16691.604,17229.0,15820.145,19191.0,18624.69,20307.0,20630.502,21046.0,20540.139,21249.0,21150.896,21561.0,23079.152,21725.0,23895.582,22048.0,22569.861,21734.0,23342.504,21877.0,23793.744,22419.0,23786.592,22290.0,23184.803,21949.0,22957.232,21705.0,24091.354,3.7494512790936874,5.918243396910078,4.337539252431118,14.908912798753029,19.88232754477038,7.0997504988840126,42.6076972809755,36.00932777078086,13.171543937361212,14.044845009736267,8.177232972023914,2.950917340810797,1.5930563506426354,2.4035984421030125,0.4616853293096146,7.0411963440935015,9.99117160529344,2.3669327291591076,7.400864572789178,8.761457880993738,6.1001462905348145,4.014368480820996,4.59352326700533,10.994487517277125,9.94084491218972
2024-01-01 21:00:00,16214.0,16160.303,15425.0,15254.416,14435.0,16094.065,13653.0,16587.102,13217.0,16367.534,12978.0,14155.374,13101.0,18507.627,13510.0,17818.582,14636.0,17626.502,17229.0,16691.604,19191.0,17599.896,20307.0,20212.379,21046.0,20630.502,21249.0,20540.139,21561.0,21150.896,21725.0,23079.152,22048.0,23895.582,21734.0,22569.861,21877.0,23342.504,22419.0,23793.744,22290.0,23786.592,21949.0,23184.803,21705.0,22957.232,21113.0,22088.5,0.33117839906870605,1.1058929294975688,11.49335247445445,21.490526349520252,23.836984033347207,9.072076001213594,41.26881118330662,31.89179889896373,20.43250856193632,3.1191391512856232,8.29088382900839,0.46595308883636183,1.9742376075026133,3.335975001764789,1.9020616651593154,6.233152330264672,8.379816905161466,3.845869734632373,6.698833963751885,6.132049335942727,6.714184822229699,5.630337301813294,5.769326983989864,4.620376071614645,9.751471942677755
2024-01-01 22:00:00,15425.0,14835.88,14435.0,13526.551,13653.0,16094.065,13217.0,16587.102,12978.0,16367.534,13101.0,16607.416,13510.0,18507.627,14636.0,17818.582,17229.0,17626.502,19191.0,17419.234,20307.0,19486.344,21046.0,20212.379,21249.0,20630.502,21561.0,22958.71,21725.0,21150.896,22048.0,23079.152,21734.0,23895.582,21877.0,22569.861,22419.0,23342.504,22290.0,23793.744,21949.0,23786.592,21705.0,23184.803,21113.0,22957.232,19855.0,22088.5,3.819255216774716,6.2933787235885,17.87933369726434,25.49823380873118,26.11753875549006,26.764491379474848,36.99205738804589,21.74488952753485,2.3071678746590054,9.232273591787816,4.041248091791008,3.9609478938990783,2.9107160189891292,6.482588643847688,2.642593857882624,4.676852067080914,9.945624511134628,3.1670765101476435,4.119291254070209,6.746272501682368,8.372098031231491,6.8177965186592955,8.735056230166247,11.249055653487787,10.854826572809221
2024-01-01 23:00:00,14435.0,14835.88,13653.0,13526.441,13217.0,16094.065,12978.0,16587.102,13101.0,16367.534,13510.0,16607.416,14636.0,18507.627,17229.0,17818.582,19191.0,21923.932,20307.0,18655.504,21046.0,19486.344,21249.0,23486.125,21561.0,20630.502,21725.0,22958.71,22048.0,23376.941,21734.0,23079.152,21877.0,23895.582,22419.0,22569.861,22290.0,23342.504,21949.0,23793.744,21705.0,23786.592,21113.0,22079.908,19855.0,21063.04,18607.0,20597.627,2.7771380866816764,0.9269654563099685,21.76791578790573,27.809381742179074,24.933472098980992,22.92683949389341,26.452766829222462,3.4220328008009755,14.240694287035591,8.132644377554538,7.410701558490924,10.528142500823568,4.315653480242103,5.678761507479861,6.027491864341437,6.18916142334591,9.226959963660466,0.6729172939247959,4.721865887169134,8.404684225363342,9.590379160907625,4.579681727490172,6.084306534877864,10.698269216558284,10.313284471051665
